Time,Idc_bat_Discharge,Vdc_bat_Discharge
336.5,1058.48967,363.62503
337,1058.5197,363.6239
337.5,1058.43444,363.62314
338,1058.385972,363.62222
338.5,1058.367954,363.62122
339,1058.360583,363.6202
339.5,1058.402373,363.61905
340,1058.4021,363.618
340.5,1058.35464,363.6171
341,1058.32335,363.61615
341.5,1058.323728,363.6151
342,1058.398404,363.61386
342.5,1058.40168,363.61282
343,1058.419866,363.61172
343.5,1058.431332,363.61066
344,1058.37795,363.60977
344.5,1058.300418,363.60898
345,1058.339436,363.60782
345.5,1058.36304,363.6067
346,1058.302707,363.60583
346.5,1058.34792,363.60464
347,1058.3454,363.6036
347.5,1058.34309,363.60257
348,1058.365014,363.60147
348.5,1058.349495,363.60043
349,1058.353338,363.5994
349.5,1058.365203,363.5983
350,1058.372385,363.59723
350.5,1058.360268,363.59622
351,1058.357055,363.59518
351.5,1058.36325,363.59415
352,1058.332968,363.59317
352.5,1058.331225,363.59213
353,1058.29017,363.59122
353.5,1058.321628,363.5901
354,1058.389164,363.5888
354.5,1058.390004,363.58777
355,1058.42646,363.5866
355.5,1058.41134,363.5856
356,1058.36577,363.58472
356.5,1058.250354,363.58405
357,1058.205435,363.58316
357.5,1058.234982,363.58203
358,1058.16543,363.5812
358.5,1058.09676,363.58035
359,1058.11629,363.57925
359.5,1058.1522,363.5781
360,1058.145123,363.5771
360.5,1058.134224,363.57608
361,1058.133657,363.57504
361.5,1058.078343,363.57416
362,1058.0514,363.57318
362.5,1058.04825,363.57214
363,1058.072904,363.57104
363.5,1058.071308,363.57
364,1058.017338,363.56915
364.5,1057.99512,363.56818
365,1058.006502,363.5671
365.5,1058.033487,363.56598
366,1058.018493,363.56497
366.5,1057.996443,363.56403
367,1057.990038,363.56302
367.5,1057.987665,363.56198
368,1058.014188,363.56085
368.5,1057.947282,363.5602
369,1057.9401,363.5592
369.5,1057.994847,363.558
370,1057.9674,363.55704
370.5,1057.931847,363.55612
371,1057.9674,363.55496
371.5,1057.967484,363.55392
372,1058.022714,363.55273
372.5,1058.026557,363.5517
373,1058.00373,363.55072
373.5,1058.06253,363.5495
374,1058.097516,363.54837
374.5,1058.09634,363.54733
375,1058.064126,363.5464
375.5,1058.03103,363.54544
376,1058.008875,363.5445
376.5,1058.004318,363.54346
377,1057.98105,363.54248
377.5,1057.950306,363.54153
378,1057.9779,363.5404
378.5,1058.000034,363.5393
379,1058.04216,363.53812
379.5,1058.024772,363.53714
380,1058.02977,363.53607
380.5,1058.134812,363.53473
381,1058.144682,363.53366
381.5,1058.129814,363.53268
382,1058.160117,363.53152
382.5,1058.158143,363.5305
383,1058.154993,363.52948
383.5,1058.168202,363.52838
384,1058.270682,363.52704
384.5,1058.26854,363.52603
385,1058.253315,363.52502
385.5,1058.231265,363.52405
386,1058.283366,363.52286
386.5,1058.305017,363.52173
387,1058.2782,363.52078
387.5,1058.232735,363.5199
388,1058.240862,363.51883
388.5,1058.26413,363.51773
389,1058.309385,363.51654
389.5,1058.322195,363.51547
390,1058.3496,363.51437
390.5,1058.313102,363.51346
391,1058.309826,363.51242
391.5,1058.358546,363.51123
392,1058.284458,363.5104
392.5,1058.315223,363.50928
393,1058.286684,363.50833
393.5,1058.2887,363.5073
394,1058.286495,363.5063
394.5,1058.303232,363.5052
395,1058.240043,363.50436
395.5,1058.253378,363.5033
396,1058.24292,363.5023
396.5,1058.190882,363.50143
397,1058.15136,363.50052
397.5,1058.199093,363.49933
398,1058.232672,363.4982
398.5,1058.2173,363.49722
399,1058.24208,363.49612
399.5,1058.31831,363.49484
400,1058.320662,363.4938
400.5,1058.269464,363.49292
401,1058.212092,363.49207
401.5,1058.261316,363.49088
402,1058.249262,363.48987
402.5,1058.209593,363.48895
403,1058.19798,363.48795
403.5,1058.217552,363.48685
404,1058.233302,363.48575
404.5,1058.239917,363.4847
405,1058.27316,363.48358
405.5,1058.269842,363.4825
406,1058.233827,363.4816
406.5,1058.200878,363.48068
407,1058.3118,363.47928
407.5,1058.322384,363.4782
408,1058.295798,363.47726
408.5,1058.298612,363.4762
409,1058.2782,363.47522
409.5,1058.295,363.47415
410,1058.296953,363.4731
410.5,1058.21646,363.47232
411,1058.132943,363.47153
411.5,1058.038422,363.4708
412,1058.14506,363.46942
412.5,1058.08878,363.46857
413,1058.082186,363.46756
413.5,1058.079876,363.46655
414,1058.028678,363.46567
414.5,1058.019963,363.46466
415,1058.01381,363.46365
415.5,1058.040984,363.46252
416,1058.031177,363.46152
416.5,1057.9905,363.46063
417,1057.987098,363.4596
417.5,1057.95984,363.45865
418,1057.956522,363.45764
418.5,1057.954212,363.4566
419,1057.924098,363.4557
419.5,1057.910385,363.45468
420,1057.94598,363.45358
420.5,1057.949718,363.4525
421,1057.982478,363.4514
421.5,1057.953435,363.45044
422,1057.906458,363.44955
422.5,1057.9002,363.44855
423,1057.89915,363.44754
423.5,1057.87416,363.4466
424,1057.883337,363.4457
424.5,1057.903518,363.44464
425,1057.92813,363.44354
425.5,1057.951272,363.4424
426,1057.996002,363.44125
426.5,1058.00226,363.4402
427,1057.972083,363.43927
427.5,1057.942347,363.43832
428,1057.978173,363.4372
428.5,1057.96719,363.43622
429,1058.01255,363.43503
429.5,1057.97328,363.4341
430,1057.92624,363.43323
430.5,1057.915887,363.43225
431,1057.845516,363.43143
431.5,1057.877058,363.43027
432,1057.913703,363.42914
432.5,1057.89411,363.42816
433,1057.907235,363.42712
433.5,1057.911078,363.42606
434,1057.951587,363.42493
434.5,1058.085966,363.42346
435,1058.096235,363.4224
435.5,1058.10243,363.42136
436,1058.083866,363.42038
436.5,1058.138844,363.41916
437,1058.188257,363.41797
437.5,1058.18181,363.41696
438,1058.190567,363.4159
438.5,1058.20575,363.41483
439,1058.234856,363.4137
439.5,1058.25531,363.41263
440,1058.200563,363.41177
440.5,1058.130444,363.41095
441,1058.179794,363.40976
441.5,1058.205372,363.40866
442,1058.21583,363.4076
442.5,1058.186073,363.40668
443,1058.14611,363.4058
443.5,1058.15955,363.40472
444,1058.184477,363.40363
444.5,1058.175048,363.40262
445,1058.17866,363.40158
445.5,1058.20134,363.40048
446,1058.217615,363.3994
446.5,1058.2173,363.3984
447,1058.204406,363.3974
447.5,1058.218644,363.39636
448,1058.204847,363.39536
448.5,1058.192352,363.39438
449,1058.160642,363.39343
449.5,1058.114883,363.39255
450,1058.08206,363.39163
450.5,1058.04615,363.39072
451,1058.041698,363.3897
451.5,1058.068284,363.3886
452,1058.100582,363.3875
452.5,1058.13519,363.38635
453,1058.169,363.38525
453.5,1058.14695,363.38428
454,1058.160894,363.3832
454.5,1058.151213,363.3822
455,1058.177757,363.3811
455.5,1058.20953,363.37997
456,1058.190693,363.379
456.5,1058.172423,363.37802
457,1058.110326,363.37717
457.5,1058.06232,363.37628
458,1058.10495,363.37512
458.5,1058.08626,363.37415
459,1058.081808,363.3731
459.5,1058.09823,363.37207
460,1058.210055,363.37067
460.5,1058.26518,363.36948
461,1058.237355,363.36853
461.5,1058.23242,363.36752
462,1058.150772,363.36676
462.5,1058.17173,363.36566
463,1058.1543,363.3647
463.5,1058.12196,363.36374
464,1058.04258,363.36295
464.5,1058.056692,363.36188
465,1058.077713,363.36078
465.5,1058.107386,363.35965
466,1058.062257,363.35876
466.5,1058.02893,363.35785
467,1058.018367,363.35684
467.5,1057.986573,363.35593
468,1057.981197,363.35492
468.5,1057.978887,363.3539
469,1057.9548,363.35297
469.5,1057.952343,363.35193
470,1057.912107,363.35104
470.5,1057.908705,363.35004
471,1057.979517,363.3488
471.5,1057.96698,363.3478
472,1057.91637,363.34695
472.5,1057.833,363.3462
473,1057.82166,363.34518
473.5,1057.88655,363.344
474,1057.9023,363.3429
474.5,1057.867314,363.34198
475,1057.876722,363.34094
475.5,1057.910952,363.3398
476,1057.829892,363.33905
476.5,1057.84077,363.338
477,1057.878213,363.33685
477.5,1057.899024,363.33575
478,1057.830018,363.33496
478.5,1057.884093,363.33377
479,1057.928907,363.3326
479.5,1057.950936,363.3315
480,1057.921263,363.33078
480.5,1057.904988,363.3298
481,1057.88781,363.32883
481.5,1057.87374,363.32785
482,1057.85925,363.32687
482.5,1057.86429,363.32584
483,1057.86261,363.32483
483.5,1057.889028,363.32373
484,1057.875903,363.32272
484.5,1057.833462,363.32184
485,1057.784448,363.32095
485.5,1057.797846,363.3199
486,1057.78512,363.3189
486.5,1057.804566,363.31784
487,1057.871997,363.31662
487.5,1057.876596,363.31558
488,1057.92393,363.31442
488.5,1057.970865,363.31326
489,1057.962675,363.31226
489.5,1058.062383,363.3109
490,1058.088402,363.3098
490.5,1058.096865,363.30875
491,1058.09907,363.3077
491.5,1058.125845,363.30658
492,1058.158458,363.30545
492.5,1058.178324,363.30438
493,1058.152305,363.30344
493.5,1058.147748,363.30243
494,1058.115576,363.3015
494.5,1058.08479,363.3006
495,1058.129562,363.29944
495.5,1058.130192,363.29843
496,1058.087394,363.29755
