Time,Battery inverter.Idc_bat,Battery inverter.Vdc_bat
359,-1230.4701,364.08963
359.5,-1230.5082,364.09088
360,-1230.5387,364.09213
360.5,-1230.5759,364.09326
361,-1230.6195,364.0947
361.5,-1230.6224,364.09573
362,-1230.6329,364.09692
362.5,-1230.6233,364.09802
363,-1230.598,364.09882
363.5,-1230.64,364.1
364,-1230.649,364.1012
364.5,-1230.6,364.10214
365,-1230.62,364.10312
365.5,-1230.6285,364.1042
366,-1230.6378,364.10522
366.5,-1230.6587,364.1062
367,-1230.6523,364.10733
367.5,-1230.6359,364.10834
368,-1230.6512,364.10965
368.5,-1230.597,364.11057
369,-1230.5844,364.11157
369.5,-1230.6128,364.1127
370,-1230.6068,364.11395
370.5,-1230.5905,364.11496
371,-1230.579,364.1161
371.5,-1230.5795,364.11716
372,-1230.571,364.1183
372.5,-1230.5829,364.11948
373,-1230.5869,364.12057
373.5,-1230.55,364.1223
374,-1230.5576,364.1233
374.5,-1230.5668,364.12427
375,-1230.5786,364.12537
375.5,-1230.5807,364.12643
376,-1230.5726,364.12738
376.5,-1230.559,364.12833
377,-1230.5851,364.12973
377.5,-1230.581,364.13086
378,-1230.5819,364.13193
378.5,-1230.5992,364.13306
379,-1230.609,364.13416
379.5,-1230.6145,364.13525
380,-1230.6571,364.1365
380.5,-1230.6605,364.1375
381,-1230.6761,364.13858
381.5,-1230.7069,364.13974
382,-1230.7288,364.1408
382.5,-1230.7457,364.1419
383,-1230.7826,364.143
383.5,-1230.7334,364.1439
384,-1230.717,364.145
384.5,-1230.7015,364.1462
385,-1230.7174,364.14734
385.5,-1230.6907,364.14832
386,-1230.6934,364.14944
386.5,-1230.7114,364.15057
387,-1230.6919,364.1513
387.5,-1230.6743,364.1522
388,-1230.6644,364.1531
388.5,-1230.6631,364.15378
389,-1230.6749,364.1549
389.5,-1230.6626,364.1559
390,-1230.6473,364.15698
390.5,-1230.6562,364.15823
391,-1230.6254,364.15884
391.5,-1230.568,364.1596
392,-1230.5104,364.16034
392.5,-1230.4894,364.16116
393,-1230.4847,364.16235
393.5,-1230.4863,364.16342
394,-1230.4988,364.16464
394.5,-1230.5032,364.1656
395,-1230.497,364.16644
395.5,-1230.5404,364.16742
396,-1230.5747,364.1686
396.5,-1230.5778,364.16977
397,-1230.5581,364.1708
397.5,-1230.5564,364.17184
398,-1230.5581,364.1729
398.5,-1230.5599,364.17395
399,-1230.5709,364.17514
399.5,-1230.5796,364.17618
400,-1230.6249,364.17734
400.5,-1230.6328,364.17844
401,-1230.6348,364.17947
401.5,-1230.6235,364.18057
402,-1230.6036,364.1815
402.5,-1230.5454,364.1823
403,-1230.5253,364.18335
403.5,-1230.518,364.1845
404,-1230.4868,364.18536
404.5,-1230.453,364.1863
405,-1230.466,364.18747
405.5,-1230.4872,364.1885
406,-1230.5012,364.18967
406.5,-1230.5155,364.1907
407,-1230.5167,364.19177
407.5,-1230.5105,364.19284
408,-1230.5253,364.19388
408.5,-1230.5115,364.19498
409,-1230.5098,364.19604
409.5,-1230.5209,364.19724
410,-1230.5228,364.19827
410.5,-1230.5355,364.1995
411,-1230.5376,364.20056
411.5,-1230.5499,364.20175
412,-1230.5856,364.20282
412.5,-1230.5917,364.2039
413,-1230.601,364.20493
413.5,-1230.6395,364.20605
414,-1230.7004,364.2072
414.5,-1230.6952,364.2082
415,-1230.7095,364.20947
415.5,-1230.7195,364.21063
416,-1230.7284,364.21185
416.5,-1230.7214,364.21295
417,-1230.7341,364.21405
417.5,-1230.7498,364.21518
418,-1230.7738,364.21628
418.5,-1230.7914,364.21716
419,-1230.7747,364.2181
419.5,-1230.8053,364.21918
420,-1230.7966,364.22006
420.5,-1230.7917,364.2212
421,-1230.801,364.22238
421.5,-1230.7568,364.22324
422,-1230.751,364.22446
422.5,-1230.743,364.2256
423,-1230.7896,364.22684
423.5,-1230.7831,364.22797
424,-1230.7283,364.2289
424.5,-1230.7323,364.22992
425,-1230.7412,364.23096
425.5,-1230.7266,364.23203
426,-1230.6921,364.23297
426.5,-1230.6871,364.23395
427,-1230.7117,364.23514
427.5,-1230.7118,364.2361
428,-1230.712,364.23715
